,node,eign,closeness,betwness,centrality,community,density
2820,24712,0.0007454774186108176,0.1912672393267276,0.0008491566649262669,22,0,0.019021739130434784
6055,30185,0.000463117522479167,0.1782804464266661,0.0005260328414910338,20,0,0.019021739130434784
13859,39773,0.0006379858292994848,0.18035490695565823,0.0003514861894993081,17,0,0.019021739130434784
279,28093,0.00022930056969745616,0.173628228095917,0.00012777870214848545,14,0,0.019021739130434784
277,16025,0.00020293690366547253,0.16883783532531152,4.7055287165898776e-05,13,0,0.019021739130434784
29051,19980,0.0004998766914142225,0.18034945621435386,0.00026816205054440635,13,0,0.019021739130434784
35471,39067,0.0002806556841480937,0.17338679550718503,0.00021284320874575267,13,0,0.019021739130434784
281,39977,0.00018150192983616128,0.17019854867559517,0.00013120041604991023,12,0,0.019021739130434784
5956,35326,0.0002441583486501502,0.17995709152945433,0.0003338184857055346,12,0,0.019021739130434784
14887,21532,0.00033948945980111445,0.1695533050555071,0.00015610590865349687,12,0,0.019021739130434784
25160,31096,0.00015940510447678123,0.17219247369006838,0.00021648087352413848,12,0,0.019021739130434784
7697,26210,0.00035134258683238974,0.1758169604525481,0.0005344439843178231,11,0,0.019021739130434784
8809,14565,0.0003196173017003168,0.17702100249182107,0.00016894868273832132,11,0,0.019021739130434784
5208,33436,0.00018922421129413954,0.16872258439764437,0.00031168108137347584,10,0,0.019021739130434784
12395,27832,0.002153449533860061,0.17837484680652999,0.00019332831745417687,10,0,0.019021739130434784
7730,35365,8.064980423914744e-05,0.16226736123250474,4.396816291823677e-05,9,0,0.019021739130434784
14953,15550,0.0001650179710854696,0.16779407747802755,2.4522338238777827e-05,9,0,0.019021739130434784
14955,16961,0.0012745271202466463,0.18554200812845625,0.00026664456958144165,9,0,0.019021739130434784
31182,10041,0.00021302292537949023,0.1720562976509694,3.710424903345185e-05,9,0,0.019021739130434784
35728,41727,0.0008106699389763606,0.17569346596286092,0.00025902439006900146,9,0,0.019021739130434784
31067,25092,0.00011762456747410804,0.16688106747632936,0.0004751304270794546,8,0,0.019021739130434784
274,44,0.00010634832054639649,0.16281825410436707,4.00655884218867e-05,7,0,0.019021739130434784
3622,31656,0.00012352023392198414,0.1710453041569758,0.00017817346253364347,7,0,0.019021739130434784
9008,28816,0.0031145211641371803,0.17716365116930047,0.0002871629847163246,7,0,0.019021739130434784
14952,2864,0.00024045207101394954,0.16245668482889777,3.3807552637400174e-05,7,0,0.019021739130434784
15442,22305,8.545528164209448e-05,0.1763834054681727,0.00030572441351772896,7,0,0.019021739130434784
34448,8004,0.00011571739975513941,0.16818727200985642,8.670343797866295e-05,7,0,0.019021739130434784
35726,3418,0.0008679016785083784,0.17512996813684387,8.623440731355248e-05,7,0,0.019021739130434784
7727,1250,3.900669735079574e-05,0.15743829219479652,2.76037407043449e-05,6,0,0.019021739130434784
7728,20670,7.485048561462042e-05,0.1595148719397867,5.219922637525336e-05,6,0,0.019021739130434784
10123,19072,9.771103282769397e-06,0.1592509426121699,9.243416347667739e-05,6,0,0.019021739130434784
11044,1932,0.00010629338133517987,0.15794309481047358,0.00011955709951252864,6,0,0.019021739130434784
14107,29319,0.00337163752893747,0.17399055322764723,0.00012876271261285735,6,0,0.019021739130434784
17937,16226,0.0007260827040103286,0.16534853342833392,5.3831751694267805e-05,6,0,0.019021739130434784
29916,32910,1.121121668018733e-05,0.15262244469208425,0.00011421101139105141,6,0,0.019021739130434784
33085,11974,8.251664646576779e-05,0.16493852119182809,6.949864696809801e-05,6,0,0.019021739130434784
