,source,target,weight
0,8,29,61
1,8,6,38
2,8,24,79
3,8,49,36
4,8,11,14
5,8,1,55
6,8,5,93
7,8,9,16
8,8,7,4
9,8,14,100
10,8,26,19
11,8,23,21
12,8,39,19
13,8,20,12
14,8,41,13
15,8,12,24
16,8,55,18
17,8,21,8
18,8,36,30
19,8,18,28
20,8,16,14
21,8,44,7
22,8,46,4
23,8,43,9
24,8,4,7
25,8,15,10
26,8,45,6
27,8,17,5
28,8,25,11
29,8,40,6
30,8,52,24
31,8,54,5
32,8,19,14
33,8,57,2
34,8,34,7
35,8,2,10
36,8,3,14
37,8,22,2
38,8,33,5
39,8,28,2
40,1,14,225
41,1,7,15
42,1,5,181
43,1,26,32
44,1,21,16
45,1,41,17
46,1,24,58
47,1,12,22
48,1,44,12
49,1,19,26
50,1,34,52
51,1,52,25
52,1,23,29
53,1,15,42
54,1,9,27
55,1,28,6
56,1,40,13
57,1,36,24
58,1,20,26
59,1,6,33
60,1,55,10
61,1,45,25
62,1,11,26
63,1,29,71
64,1,22,11
65,1,54,12
66,1,39,27
67,1,2,47
68,1,3,15
69,1,17,8
70,1,46,8
71,1,25,20
72,1,18,2
73,1,4,6
74,1,49,24
75,1,16,21
76,1,43,8
77,1,33,11
78,1,51,6
79,1,13,1
80,1,0,4
81,1,57,2
82,14,39,265
83,14,20,217
84,14,49,147
85,14,22,95
86,14,52,144
87,14,15,416
88,14,16,435
89,14,41,210
90,14,25,272
91,14,36,141
92,14,23,399
93,14,30,23
94,14,5,984
95,14,7,72
96,14,11,97
97,14,46,107
98,14,3,87
99,14,18,49
100,14,21,152
101,14,45,238
102,14,19,332
103,14,40,221
104,14,9,254
105,14,32,1
106,14,12,111
107,14,26,104
108,14,24,272
109,14,54,228
110,14,55,60
111,14,28,108
112,14,29,147
113,14,33,153
114,14,0,87
115,14,6,241
116,14,2,216
117,14,34,119
118,14,44,118
119,14,4,112
120,14,17,124
121,14,57,113
122,14,43,52
123,14,51,51
124,14,13,10
125,14,27,1
126,14,53,1
127,14,31,1
128,14,42,1
129,14,35,1
130,14,37,3
131,14,48,1
132,14,47,1
133,14,38,1
134,14,56,1
135,14,50,1
136,3,52,9
137,3,5,78
138,3,9,16
139,3,11,5
140,3,24,21
141,3,23,19
142,3,15,19
143,3,36,15
