,source,target
0,0,37825
1,0,17224
2,0,6356
3,17224,650
4,17224,20483
5,17224,2408
6,17224,5064
7,17224,6018
8,17224,7279
9,17224,9874
10,17224,10969
11,17224,17792
12,17224,20577
13,17224,24668
14,17224,29421
15,17224,25467
16,17224,27896
17,17224,41674
18,17224,31705
19,17224,39325
20,17224,27059
21,17224,21558
22,17224,31878
23,17224,31369
24,17224,34751
25,17224,35440
26,17224,39537
27,17224,13424
28,17224,35226
29,17224,28025
30,6356,2838
31,6356,19901
32,6356,31199
33,6356,24091
34,6356,20344
35,6356,31670
36,6356,30382
37,1,18053
38,1,31265
39,1,28257
40,1,41010
41,1,19010
42,1,10785
43,1,41676
44,1,5800
45,1,1979
46,1,11621
47,18053,865
48,18053,3090
49,18053,3740
50,18053,13845
51,18053,37469
52,18053,27500
53,31265,865
54,31265,4991
55,31265,5095
56,31265,5539
57,31265,7821
58,31265,23384
59,31265,27657
60,31265,27194
61,31265,21507
62,31265,22784
63,31265,38699
64,31265,32590
65,31265,17573
66,31265,16003
67,31265,37963
68,31265,30552
69,31265,29589
70,31265,39954
71,28257,27797
72,28257,29232
73,28257,10399
74,41010,349
75,41010,769
76,41010,2772
77,41010,3991
78,41010,4301
79,41010,4948
80,41010,14491
81,41010,11105
82,41010,11621
83,41010,11863
84,41010,12006
85,41010,12744
86,41010,17384
87,41010,18785
88,41010,18868
89,41010,19019
90,41010,25443
91,41010,27957
92,41010,30478
93,41010,31783
94,41010,32336
95,41010,40231
96,41010,33243
97,41010,27477
98,41010,33720
99,41010,37574
100,19010,865
101,19010,1154
102,19010,1301
103,19010,2078
104,19010,2778
105,19010,5390
106,19010,5539
107,19010,5575
108,19010,7175
109,19010,7635
110,19010,9635
111,19010,10785
112,19010,31772
113,19010,12093
114,19010,13249
115,19010,13700
116,19010,14072
117,19010,9022
118,19010,14897
119,19010,15572
120,19010,16563
121,19010,23455
122,19010,7121
123,19010,24673
124,19010,25473
125,19010,27099
126,19010,29003
127,19010,41676
128,19010,5096
129,19010,25248
130,10785,35147
131,10785,12222
132,10785,24538
133,10785,35599
134,10785,40817
135,41676,1154
136,41676,2056
137,41676,2372
138,41676,3039
139,41676,3111
140,41676,12455
141,41676,13886
142,41676,16450
143,41676,17263
144,41676,17633
145,41676,18778
146,41676,23819
147,41676,23073
148,41676,32048
149,41676,26551
150,41676,26881
151,41676,30633
152,41676,30660
153,41676,34638
154,41676,35419
155,41676,26776
156,41676,41174
157,41676,41057
158,1979,10245
159,1979,6821
160,1979,13886
161,1979,36976
162,1979,38955
163,1979,24379
164,1979,5498
165,11621,32852
166,11621,769
167,11621,970
168,11621,28751
169,11621,1301
170,11621,3354
171,11621,3831
172,11621,3991
173,11621,6593
174,11621,6896
175,11621,6902
176,11621,7981
177,11621,9005
178,11621,9014
179,11621,9530
180,11621,9814
181,11621,10096
182,11621,10606
183,11621,35454
184,11621,31075
185,11621,13929
186,11621,31783
187,11621,30059
188,11621,41000
189,11621,14242
190,11621,33087
191,11621,36356
192,11621,32143
193,11621,36381
194,11621,36553
195,11621,22272
196,11621,37574
197,11621,11863
198,11621,37252
199,11621,11909
200,11621,29025
201,11621,22830
202,11621,28874
203,11621,27913
204,11621,26570
205,11621,33514
206,11621,13535
207,11621,37464
208,11621,30273
209,11621,32336
210,11621,15522
211,11621,25443
212,11621,13664
213,11621,17023
214,11621,28526
215,11621,32743
