,node,eign,closeness,betwness,centrality,community,density
0,0,3.391796172270201e-05,0.35334266713335666,0.14630592147442917,347,0,0.04566188121188841
56,56,2.636637974139532e-05,0.27585735756250856,0.0010850657064421735,78,0,0.04566188121188841
67,67,2.667402808693757e-05,0.27581967213114755,0.0009118520705882054,76,0,0.04566188121188841
271,271,2.3411405713014694e-06,0.2623270317676866,2.7494830859865e-05,73,0,0.04566188121188841
322,322,2.689806565301255e-05,0.27574433214968586,0.0009635115740098247,72,0,0.04566188121188841
25,25,2.0920477409908786e-06,0.26225888160031174,5.38808313945586e-05,69,0,0.04566188121188841
26,26,2.333621078244131e-06,0.26224184959085595,1.935436798204632e-05,68,0,0.04566188121188841
21,21,2.5965755464539667e-05,0.2756125861715924,0.0009380243844653233,65,0,0.04566188121188841
252,252,2.5939957925083553e-06,0.2621907668333225,1.9885434414856687e-05,65,0,0.04566188121188841
277,277,2.868922806339134e-06,0.2621907668333225,3.9269846373356606e-05,65,0,0.04566188121188841
122,122,2.6275054685395072e-05,0.27557496758343003,0.0007457760472154909,63,0,0.04566188121188841
119,119,2.0670379385755196e-06,0.2801054384017758,0.0015229358857941754,62,0,0.04566188121188841
239,239,2.084513578694067e-06,0.26208866099824757,1.8449221399712053e-05,59,0,0.04566188121188841
9,9,2.214116624486093e-06,0.2620546433902265,1.6454236303026905e-05,57,0,0.04566188121188841
200,200,2.0875584132522845e-06,0.2620546433902265,1.383389514169764e-05,57,0,0.04566188121188841
203,203,2.214317416201959e-06,0.2620546433902265,1.6468476377937862e-05,57,0,0.04566188121188841
315,315,2.6781222991493082e-05,0.27544338335607094,0.0006570659523591639,56,0,0.04566188121188841
304,304,2.6353913360053513e-05,0.2754245958665848,0.0005888931717860166,55,0,0.04566188121188841
98,98,1.8651974910044857e-06,0.26191866121813584,6.75276474687329e-06,49,0,0.04566188121188841
188,188,1.999968173949832e-06,0.2619016733687897,1.0395368746413048e-05,48,0,0.04566188121188841
199,199,1.5207716212891247e-06,0.2618846877229392,9.450375984913955e-06,47,0,0.04566188121188841
285,285,2.6149286936079148e-05,0.27527438816551913,0.0004989860040731102,47,0,0.04566188121188841
170,170,1.8442210668047118e-06,0.26186770428015566,1.2076646755280126e-05,46,0,0.04566188121188841
272,272,1.768044179335952e-06,0.2618507230400104,1.899166953524329e-05,45,0,0.04566188121188841
40,40,1.7851968170490274e-06,0.26183374400207493,1.3796059569123122e-05,44,0,0.04566188121188841
186,186,1.689152601399593e-06,0.26183374400207493,8.069594875170074e-06,44,0,0.04566188121188841
142,142,2.0058320647541407e-06,0.261816767165921,5.167781965397462e-06,43,0,0.04566188121188841
280,280,1.6684602480353666e-06,0.261816767165921,1.0287622955860242e-05,43,0,0.04566188121188841
332,332,1.948162492221933e-06,0.261816767165921,1.1942664858347235e-05,43,0,0.04566188121188841
172,172,1.1306354099890156e-06,0.26178282009724474,8.376867955345824e-06,41,0,0.04566188121188841
113,113,1.5024273155549714e-06,0.2617658498638662,5.229334396770685e-06,40,0,0.04566188121188841
213,213,2.6162087362596894e-05,0.2751243442120324,0.0004681297730936088,39,0,0.04566188121188841
323,323,1.9225797275757866e-06,0.26174888183055683,7.802412276258454e-06,39,0,0.04566188121188841
325,325,1.325903456484377e-06,0.26174888183055683,4.156868184942259e-06,39,0,0.04566188121188841
169,169,2.5749071292822103e-05,0.27510560021801334,0.0004022004787300702,38,0,0.04566188121188841
261,261,1.1036322482791776e-06,0.2617319159968888,7.001409919657162e-06,38,0,0.04566188121188841
109,109,1.916116743643399e-06,0.26171495236243436,5.787658323854831e-06,37,0,0.04566188121188841
236,236,1.7262705827233194e-06,0.26171495236243436,8.01595841612901e-06,37,0,0.04566188121188841
313,313,1.5599135373909556e-06,0.26171495236243436,7.857715802639878e-06,37,0,0.04566188121188841
118,118,1.2615924480514825e-06,0.26169799092676604,5.694459451841912e-06,36,0,0.04566188121188841
291,291,1.5780468372013132e-06,0.26169799092676604,9.229964800365197e-06,36,0,0.04566188121188841
82,82,8.953960456355658e-07,0.26166407465007774,7.3592283705503054e-06,34,0,0.04566188121188841
342,342,1.4192970693891684e-06,0.26166407465007774,3.5719501920485037e-06,34,0,0.04566188121188841
104,104,1.4355684549795197e-06,0.2616301671634055,3.0155346005494676e-06,32,0,0.04566188121188841
13,13,1.103790547598573e-06,0.26161321671525756,1.7622717578436846e-06,31,0,0.04566188121188841
53,53,9.315426117405499e-07,0.26161321671525756,1.0849233385514972e-05,31,0,0.04566188121188841
211,211,1.2000150045393467e-06,0.26159626846333245,2.256933560691282e-06,30,0,0.04566188121188841
329,329,1.0125492149317774e-06,0.26159626846333245,1.359514681011352e-05,30,0,0.04566188121188841
128,128,1.5434415237660647e-06,0.2615623785464438,2.4337383726394154e-06,28,0,0.04566188121188841
141,141,1.0678734136582829e-06,0.2615623785464438,2.6854718971158224e-06,28,0,0.04566188121188841
224,224,1.5206653082191618e-06,0.2615623785464438,2.9643732800200658e-06,28,0,0.04566188121188841
334,334,1.5205441246894845e-06,0.2615623785464438,3.968928448654337e-06,28,0,0.04566188121188841
223,223,1.23445572624129e-06,0.261545436880627,1.1271584511988172e-06,27,0,0.04566188121188841
265,265,7.415857167058421e-07,0.261545436880627,2.4201423687344422e-06,27,0,0.04566188121188841
339,339,2.5435168391308323e-05,0.2748995847232623,0.0003276135734341351,27,0,0.04566188121188841
346,346,2.845340266292697e-07,0.261545436880627,5.5363499688486125e-06,27,0,0.04566188121188841
62,62,1.0480310720344275e-06,0.26152849740932643,2.8660815656610625e-06,26,0,0.04566188121188841
185,185,1.5087404162585571e-06,0.26152849740932643,2.828334869845182e-06,26,0,0.04566188121188841
312,312,2.456255185318896e-07,0.26152849740932643,6.447982662426986e-06,26,0,0.04566188121188841
324,324,2.5017724614579763e-05,0.2748808713410483,0.0003570744435014176,26,0,0.04566188121188841
158,158,1.1780556141717562e-06,0.2615115601321158,4.792698586965206e-06,25,0,0.04566188121188841
161,161,1.9606496195465963e-06,0.2615115601321158,2.4042212720527196e-06,25,0,0.04566188121188841
232,232,1.1942645389386699e-06,0.2615115601321158,1.3245464993391094e-06,25,0,0.04566188121188841
297,297,1.389417223986168e-06,0.2615115601321158,9.340158851641771e-07,25,0,0.04566188121188841
41,41,2.430097031380907e-07,0.26149462504856885,4.673274954378314e-06,24,0,0.04566188121188841
